id,year,gender,season,usage,masterCategory,subCategory,articleType,baseColour,productDisplayName
10000,2011,Women,Summer,Casual,Apparel,Bottomwear,Skirts,White,Palm Tree Girls Sp Jace Sko White Skirts
10001,2011,Women,Summer,Casual,Apparel,Bottomwear,Skirts,Blue,Palm Tree Kids Girls Sp Jema Skt Blue Skirts
10002,2011,Women,Summer,Casual,Apparel,Bottomwear,Skirts,Blue,Palm Tree Kids Sp Jema Skt Blue Skirts
10003,2011,Women,Fall,Sports,Apparel,Topwear,Tshirts,White,Nike Women As Nike Eleme White T-Shirt
10004,2011,Men,Fall,Sports,Apparel,Bottomwear,Shorts,Grey,Nike Men As 7 Sw Temp Grey Shorts
10005,2011,Men,Fall,Sports,Apparel,Topwear,Tshirts,Blue,Nike Men As Ss Trainin Blue T-Shirts
10006,2011,Men,Fall,Sports,Apparel,Topwear,Tshirts,Black,Nike Men As T90 Black Tshirts
10007,2011,Women,Fall,Sports,Apparel,Topwear,Tshirts,White,Nike Women As Trophy Swo White T-Shirts
10008,2011,Men,Fall,Sports,Apparel,Topwear,Tshirts,Navy Blue,Nike Men Town Navy Blue T-Shirts
10009,2011,Men,Fall,Sports,Apparel,Topwear,Tshirts,Red,Nike Men Town Round Red Neck T-Shirts
10010,2011,Men,Fall,Sports,Apparel,Topwear,Tshirts,Black,Nike Men As Showdown F Black T-Shirts
10011,2012,Men,Summer,Sports,Apparel,Bottomwear,Track Pants,Grey Melange,Nike Men Grey Melange Track Pants
10012,2011,Men,Fall,Sports,Apparel,Bottomwear,Track Pants,Navy Blue,Nike Men'S Breakli Navy Blue Track Pants
10013,2011,Men,Fall,Sports,Apparel,Topwear,Tshirts,Yellow,Nike Men As Ss Cruiser Yellow T-Shirts
10014,2011,Unisex,Fall,Sports,Accessories,Headwear,Caps,Blue,Nike Unisex Feather Lite Blue Caps
10015,2011,Men,Fall,Casual,Apparel,Topwear,Tshirts,White,Locomotive Men American Glory White Tshirts
10016,2011,Women,Summer,Casual,Apparel,Dress,Dresses,Pink,Palm Tree Girl'S Cr Blossom Drs Pink Dresses
10017,2011,Women,Fall,Sports,Apparel,Topwear,Jackets,Blue,Nike Women As The Windru Blue Jackets
