gender,masterCategory,subCategory,season,usage,gender_enc,category_enc,subcat_enc,season_enc,usage_enc,Cluster
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Men,Apparel,Bottomwear,Summer,Casual,2,1,6,2,0,0
Women,Accessories,Watches,Winter,Casual,4,0,42,3,0,1
Men,Apparel,Bottomwear,Fall,Casual,2,1,6,0,0,0
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Men,Apparel,Topwear,Summer,Ethnic,2,1,38,2,1,1
Women,Apparel,Topwear,Summer,Casual,4,1,38,2,0,1
Men,Accessories,Socks,Summer,Casual,2,0,33,2,0,2
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Men,Footwear,Shoes,Summer,Casual,2,2,30,2,0,2
Women,Accessories,Belts,Summer,Casual,4,0,5,2,0,0
Men,Footwear,Flip Flops,Fall,Casual,2,2,11,0,0,0
Women,Accessories,Bags,Summer,Casual,4,0,2,2,0,0
Boys,Footwear,Flip Flops,Fall,Casual,0,2,11,0,0,0
Men,Apparel,Topwear,Fall,Formal,2,1,38,0,2,1
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Girls,Apparel,Topwear,Summer,Casual,1,1,38,2,0,1
Women,Apparel,Innerwear,Summer,Casual,4,1,18,2,0,4
Women,Accessories,Bags,Summer,Casual,4,0,2,2,0,0
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Men,Footwear,Sandal,Fall,Casual,2,2,26,0,0,2
Unisex,Accessories,Shoe Accessories,Summer,Casual,3,0,29,2,0,2
Men,Apparel,Topwear,Fall,Sports,2,1,38,0,6,1
Men,Personal Care,Fragrance,Spring,Casual,2,5,12,1,0,4
Men,Footwear,Shoes,Winter,Formal,2,2,30,3,2,2
Women,Accessories,Jewellery,Winter,Casual,4,0,19,3,0,4
Men,Apparel,Topwear,Fall,Sports,2,1,38,0,6,1
Women,Personal Care,Lips,Spring,Casual,4,5,20,1,0,4
Women,Accessories,Bags,Winter,Casual,4,0,2,3,0,0
Men,Apparel,Topwear,Summer,Formal,2,1,38,2,2,1
Boys,Apparel,Topwear,Summer,Casual,0,1,38,2,0,1
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Men,Footwear,Shoes,Winter,Casual,2,2,30,3,0,2
Women,Footwear,Shoes,Winter,Casual,4,2,30,3,0,2
Women,Apparel,Topwear,Fall,Ethnic,4,1,38,0,1,1
Women,Accessories,Bags,Summer,Casual,4,0,2,2,0,0
Women,Accessories,Bags,Summer,Casual,4,0,2,2,0,0
Women,Accessories,Watches,Winter,Casual,4,0,42,3,0,1
Women,Apparel,Topwear,Summer,Casual,4,1,38,2,0,1
Men,Accessories,Belts,Fall,Formal,2,0,5,0,2,0
Women,Footwear,Shoes,Winter,Casual,4,2,30,3,0,2
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Women,Apparel,Topwear,Summer,Ethnic,4,1,38,2,1,1
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Men,Footwear,Shoes,Fall,Sports,2,2,30,0,6,3
Men,Apparel,Bottomwear,Summer,Sports,2,1,6,2,6,0
Men,Apparel,Innerwear,Winter,Casual,2,1,18,3,0,4
Men,Apparel,Topwear,Fall,Formal,2,1,38,0,2,1
Women,Accessories,Belts,Summer,Casual,4,0,5,2,0,0
Women,Accessories,Watches,Winter,Casual,4,0,42,3,0,1
Men,Footwear,Shoes,Fall,Formal,2,2,30,0,2,2
Women,Apparel,Topwear,Summer,Ethnic,4,1,38,2,1,1
Men,Apparel,Innerwear,Summer,Casual,2,1,18,2,0,4
Men,Footwear,Shoes,Summer,Formal,2,2,30,2,2,2
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Women,Apparel,Topwear,Summer,Casual,4,1,38,2,0,1
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Women,Apparel,Saree,Fall,Ethnic,4,1,27,0,1,2
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Women,Accessories,Bags,Summer,Casual,4,0,2,2,0,0
Men,Footwear,Shoes,Fall,Casual,2,2,30,0,0,2
Men,Footwear,Shoes,Summer,Casual,2,2,30,2,0,2
Women,Personal Care,Fragrance,Spring,Casual,4,5,12,1,0,4
Men,Footwear,Shoes,Summer,Sports,2,2,30,2,6,3
Men,Apparel,Bottomwear,Summer,Casual,2,1,6,2,0,0
Men,Footwear,Shoes,Fall,Casual,2,2,30,0,0,2
Women,Accessories,Bags,Summer,Casual,4,0,2,2,0,0
Men,Footwear,Shoes,Summer,Casual,2,2,30,2,0,2
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Women,Apparel,Topwear,Fall,Sports,4,1,38,0,6,1
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Women,Footwear,Shoes,Winter,Casual,4,2,30,3,0,2
Women,Footwear,Shoes,Winter,Casual,4,2,30,3,0,2
Women,Apparel,Topwear,Summer,Casual,4,1,38,2,0,1
Women,Footwear,Sandal,Fall,Casual,4,2,26,0,0,2
Men,Accessories,Eyewear,Winter,Casual,2,0,10,3,0,0
Men,Footwear,Flip Flops,Fall,Casual,2,2,11,0,0,0
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Men,Apparel,Innerwear,Summer,Casual,2,1,18,2,0,4
Men,Footwear,Flip Flops,Summer,Casual,2,2,11,2,0,0
Women,Accessories,Jewellery,Summer,Casual,4,0,19,2,0,4
Men,Accessories,Watches,Winter,Casual,2,0,42,3,0,1
Unisex,Accessories,Bags,Summer,Casual,3,0,2,2,0,0
Men,Footwear,Shoes,Summer,Sports,2,2,30,2,6,3
Women,Apparel,Topwear,Summer,Casual,4,1,38,2,0,1
Women,Accessories,Scarves,Summer,Casual,4,0,28,2,0,2
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Women,Apparel,Dress,Summer,Casual,4,1,8,2,0,0
Men,Apparel,Innerwear,Summer,Casual,2,1,18,2,0,4
Men,Footwear,Sandal,Summer,Casual,2,2,26,2,0,2
Women,Apparel,Loungewear and Nightwear,Summer,Casual,4,1,21,2,0,4
Men,Apparel,Topwear,Summer,Casual,2,1,38,2,0,1
Women,Personal Care,Fragrance,Spring,Casual,4,5,12,1,0,4
Women,Apparel,Bottomwear,Summer,Sports,4,1,6,2,6,0
Girls,Apparel,Topwear,Summer,Casual,1,1,38,2,0,1
Men,Footwear,Shoes,Fall,Casual,2,2,30,0,0,2
Men,Footwear,Shoes,Summer,Sports,2,2,30,2,6,3
Unisex,Accessories,Watches,Winter,Casual,3,0,42,3,0,1
Men,Footwear,Shoes,Summer,Casual,2,2,30,2,0,2
Unisex,Footwear,Flip Flops,Summer,Casual,3,2,11,2,0,0
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Men,Footwear,Shoes,Fall,Sports,2,2,30,0,6,3
Men,Footwear,Shoes,Summer,Sports,2,2,30,2,6,3
Men,Apparel,Topwear,Fall,Casual,2,1,38,0,0,1
Men,Accessories,Wallets,Summer,Casual,2,0,41,2,0,1
